	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
1	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00001	1	1362	+	1361	dnaA	Chromosomal replication initiator protein DnaA		1280pt3350_00001
3	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00002	1640	2773	+	1133	dnaN	Beta sliding clamp		1280pt3350_00002
5	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00003	3163	3399	+	236		hypothetical protein		1280pt3350_00003
7	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00004	3396	4508	+	1112	recF	DNA replication and repair protein RecF		1280pt3350_00004
9	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00005	4518	6452	+	1934	gyrB	DNA gyrase subunit B	5.6.2.2	1280pt3350_00005
11	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00006	6489	9152	+	2663	gyrA	DNA gyrase subunit A	5.6.2.2	1280pt3350_00006
13	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00007	10051	9239	-	812	nnrD	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	4.2.1.136	1280pt3350_00007
15	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00008	10376	11890	+	1514	hutH	Histidine ammonia-lyase	4.3.1.3	1280pt3350_00008
17	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00009	12269	13555	+	1286	serS	Serine--tRNA ligase	6.1.1.11	1280pt3350_00009
19	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00010	14205	14900	+	695		hypothetical protein		1280pt3350_00010
21	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00011	14897	15226	+	329		hypothetical protein		1280pt3350_00011
23	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00012	15589	16557	+	968	metXA	Homoserine O-acetyltransferase	2.3.1.31	1280pt3350_00012
25	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00013	16863	17786	+	923		hypothetical protein		1280pt3350_00013
27	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00014	17801	19768	+	1967	gdpP	Cyclic-di-AMP phosphodiesterase GdpP	3.1.4.59	1280pt3350_00014
29	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00015	19765	20211	+	446	rplI	50S ribosomal protein L9		1280pt3350_00015
31	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00016	20243	21643	+	1400	dnaC	Replicative DNA helicase	3.6.4.12	1280pt3350_00016
33	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00017	21921	23204	+	1283	purA	Adenylosuccinate synthetase	6.3.4.4	1280pt3350_00017
35	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	tRNA	1280pt3350_00018	23634	23708	+	74		tRNA-Glu(ttc)		1280pt3350_00018
37	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	tRNA	1280pt3350_00019	23716	23788	+	72		tRNA-Asp(gtc)		1280pt3350_00019
39	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00020	24408	25109	+	701	walR	Transcriptional regulatory protein WalR		1280pt3350_00020
41	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00021	25122	26948	+	1826	walK	Sensor protein kinase WalK	2.7.13.3	1280pt3350_00021
43	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00022	26941	28275	+	1334		hypothetical protein		1280pt3350_00022
45	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00023	28276	29064	+	788		hypothetical protein		1280pt3350_00023
47	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00024	29454	30254	+	800	yycJ	Putative metallo-hydrolase YycJ	3.-.-.-	1280pt3350_00024
49	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00025	30482	32800	+	2318		hypothetical protein		1280pt3350_00025
51	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00026	33168	33647	+	479	rlmH	Ribosomal RNA large subunit methyltransferase H	2.1.1.177	1280pt3350_00026
53	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00027	33867	35123	+	1256		hypothetical protein		1280pt3350_00027
55	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00028	35538	35777	+	239		hypothetical protein		1280pt3350_00028
57	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00029	36483	35809	-	674		IS6 family transposase IS431mec		1280pt3350_00029
59	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00030	36741	36908	+	167		hypothetical protein		1280pt3350_00030
61	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00031	37785	38528	+	743	ugpQ	Glycerophosphodiester phosphodiesterase, cytoplasmic	3.1.4.46	1280pt3350_00031
63	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00032	38625	39053	+	428		hypothetical protein		1280pt3350_00032
65	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00033	40742	39099	-	1643	mecA_1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA		1280pt3350_00033
67	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00034	41104	40820	-	284	pbp	Beta-lactam-inducible penicillin-binding protein		1280pt3350_00034
69	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00035	41204	42190	+	986	mecR1	Methicillin resistance mecR1 protein		1280pt3350_00035
71	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00036	42162	42422	+	260		hypothetical protein		1280pt3350_00036
73	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00037	43936	42413	-	1523		IS1182 family transposase ISSep1		1280pt3350_00037
75	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00038	44578	44072	-	506		hypothetical protein		1280pt3350_00038
77	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00039	44904	44593	-	311		hypothetical protein		1280pt3350_00039
79	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00040	44998	44906	-	92		hypothetical protein		1280pt3350_00040
81	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00041	45341	44991	-	350		hypothetical protein		1280pt3350_00041
83	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00042	47431	46280	-	1151		hypothetical protein		1280pt3350_00042
85	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00043	48802	47453	-	1349		hypothetical protein		1280pt3350_00043
87	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00044	50759	48990	-	1769		hypothetical protein		1280pt3350_00044
89	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00045	51055	50759	-	296		hypothetical protein		1280pt3350_00045
91	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00046	51226	52803	+	1577		hypothetical protein		1280pt3350_00046
93	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00047	54211	52883	-	1328	gloB_1	Hydroxyacylglutathione hydrolase	3.1.2.6	1280pt3350_00047
95	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00048	55297	54230	-	1067	glpE_1	Thiosulfate sulfurtransferase GlpE	2.8.1.1	1280pt3350_00048
97	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00049	55436	55696	+	260		hypothetical protein		1280pt3350_00049
99	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00050	55693	56451	+	758		hypothetical protein		1280pt3350_00050
